Pre-bleach_raw,Post-bleach_raw,Post-recovery_raw,,Pre-bleach_normalized,Post-bleach_normalized,Post-recovery_normalized
23.00000,19.00000,28.00000,,23.00000,19.00000,28.00000
25.00000,21.00000,46.00000,,25.00000,21.00000,46.00000
48.00000,30.00000,54.00000,,48.00000,30.00000,54.00000
70.00000,51.00000,95.00000,,70.00000,51.00000,95.00000
126.00000,81.00000,147.00000,,126.00000,81.00000,147.00000
232.00000,138.00000,173.00000,,232.00000,138.00000,173.00000
328.00000,224.00000,236.00000,,328.00000,224.00000,236.00000
353.00000,267.00000,276.00000,,353.00000,267.00000,276.00000
501.00000,249.00000,294.00000,,501.00000,249.00000,294.00000
542.00000,318.00000,210.00000,,542.00000,318.00000,210.00000
510.00000,436.00000,181.00000,,510.00000,436.00000,181.00000
512.00000,403.00000,228.00000,,512.00000,403.00000,228.00000
501.00000,292.00000,206.00000,,501.00000,292.00000,206.00000
503.00000,318.00000,250.00000,,503.00000,318.00000,250.00000
464.00000,277.00000,224.00000,,464.00000,277.00000,224.00000
373.00000,198.00000,190.00000,,373.00000,198.00000,190.00000
315.00000,191.00000,186.00000,,315.00000,191.00000,186.00000
351.00000,210.00000,162.00000,,351.00000,210.00000,162.00000
325.00000,254.00000,169.00000,,325.00000,254.00000,169.00000
338.00000,248.00000,229.00000,,338.00000,248.00000,229.00000
426.00000,309.00000,287.00000,,426.00000,309.00000,287.00000
470.00000,410.00000,286.00000,,470.00000,410.00000,286.00000
548.00000,472.00000,264.00000,,548.00000,472.00000,264.00000
647.00000,477.00000,326.00000,,647.00000,477.00000,326.00000
659.00000,529.00000,348.00000,,659.00000,529.00000,348.00000
670.00000,566.00000,321.00000,,670.00000,566.00000,321.00000
657.00000,495.00000,284.00000,,657.00000,495.00000,284.00000
659.00000,530.00000,330.00000,,659.00000,530.00000,330.00000
743.00000,550.00000,339.00000,,743.00000,550.00000,339.00000
694.00000,548.00000,374.00000,,694.00000,548.00000,374.00000
662.00000,577.00000,383.00000,,662.00000,577.00000,383.00000
627.00000,560.00000,405.00000,,627.00000,560.00000,405.00000
657.00000,606.00000,429.00000,,657.00000,606.00000,429.00000
685.00000,557.00000,393.00000,,685.00000,557.00000,393.00000
675.00000,437.00000,406.00000,,675.00000,437.00000,406.00000
769.00000,467.00000,416.00000,,769.00000,467.00000,416.00000
725.00000,473.00000,358.00000,,725.00000,473.00000,358.00000
765.00000,478.00000,344.00000,,765.00000,478.00000,344.00000
740.00000,512.00000,377.00000,,740.00000,512.00000,377.00000
735.00000,518.00000,380.00000,,735.00000,518.00000,380.00000
726.00000,475.00000,404.00000,,726.00000,475.00000,404.00000
748.00000,473.00000,395.00000,,748.00000,473.00000,395.00000
765.00000,544.00000,345.00000,,765.00000,544.00000,345.00000
757.00000,524.00000,297.00000,,757.00000,524.00000,297.00000
803.00000,541.00000,266.00000,,803.00000,541.00000,266.00000
755.00000,536.00000,300.00000,,755.00000,536.00000,300.00000
731.00000,462.00000,332.00000,,731.00000,462.00000,332.00000
813.00000,419.00000,324.00000,,813.00000,419.00000,324.00000
796.00000,448.00000,330.00000,,796.00000,448.00000,330.00000
822.00000,474.00000,408.00000,,822.00000,474.00000,408.00000
807.00000,489.00000,356.00000,,807.00000,489.00000,356.00000
793.00000,403.00000,385.00000,,793.00000,403.00000,385.00000
829.00000,394.00000,353.00000,,829.00000,394.00000,353.00000
787.00000,396.00000,319.00000,,787.00000,396.00000,319.00000
750.00000,481.00000,381.00000,,750.00000,481.00000,381.00000
786.00000,465.00000,348.00000,,786.00000,465.00000,348.00000
732.00000,475.00000,359.00000,,732.00000,475.00000,359.00000
736.00000,446.00000,315.00000,,736.00000,446.00000,315.00000
737.00000,491.00000,288.00000,,737.00000,491.00000,288.00000
722.00000,369.00000,307.00000,,722.00000,369.00000,307.00000
762.00000,355.00000,346.00000,,762.00000,355.00000,346.00000
751.00000,402.00000,330.00000,,751.00000,402.00000,330.00000
763.00000,411.00000,316.00000,,763.00000,411.00000,316.00000
733.00000,400.00000,330.00000,,733.00000,400.00000,330.00000
757.00000,337.00000,346.00000,,757.00000,337.00000,346.00000
744.00000,310.00000,394.00000,,744.00000,310.00000,394.00000
782.00000,313.00000,395.00000,,782.00000,313.00000,395.00000
798.00000,306.00000,387.00000,,798.00000,306.00000,387.00000
796.00000,312.00000,359.00000,,796.00000,312.00000,359.00000
780.00000,305.00000,275.00000,,780.00000,305.00000,275.00000
771.00000,278.00000,269.00000,,771.00000,278.00000,269.00000
682.00000,254.00000,266.00000,,682.00000,254.00000,266.00000
654.00000,229.00000,238.00000,,654.00000,229.00000,238.00000
685.00000,248.00000,306.00000,,685.00000,248.00000,306.00000
650.00000,214.00000,308.00000,,650.00000,214.00000,308.00000
667.00000,206.00000,305.00000,,667.00000,206.00000,305.00000
721.00000,197.00000,282.00000,,721.00000,197.00000,282.00000
713.00000,227.00000,221.00000,,713.00000,227.00000,221.00000
753.00000,236.00000,203.00000,,753.00000,236.00000,203.00000
692.00000,210.00000,270.00000,,692.00000,210.00000,270.00000
770.00000,268.00000,309.00000,,770.00000,268.00000,309.00000
774.00000,349.00000,343.00000,,774.00000,349.00000,343.00000
728.00000,287.00000,356.00000,,728.00000,287.00000,356.00000
772.00000,302.00000,386.00000,,772.00000,302.00000,386.00000
767.00000,301.00000,403.00000,,767.00000,301.00000,403.00000
749.00000,242.00000,365.00000,,749.00000,242.00000,365.00000
737.00000,297.00000,339.00000,,737.00000,297.00000,339.00000
726.00000,251.00000,343.00000,,726.00000,251.00000,343.00000
725.00000,275.00000,295.00000,,725.00000,275.00000,295.00000
714.00000,241.00000,330.00000,,714.00000,241.00000,330.00000
683.00000,264.00000,352.00000,,683.00000,264.00000,352.00000
695.00000,303.00000,390.00000,,695.00000,303.00000,390.00000
658.00000,276.00000,289.00000,,658.00000,276.00000,289.00000
702.00000,283.00000,238.00000,,702.00000,283.00000,238.00000
779.00000,271.00000,284.00000,,779.00000,271.00000,284.00000
702.00000,217.00000,352.00000,,702.00000,217.00000,352.00000
684.00000,153.00000,390.00000,,684.00000,153.00000,390.00000
716.00000,196.00000,385.00000,,716.00000,196.00000,385.00000
688.00000,210.00000,359.00000,,688.00000,210.00000,359.00000
733.00000,188.00000,342.00000,,733.00000,188.00000,342.00000
726.00000,165.00000,345.00000,,726.00000,165.00000,345.00000
790.00000,193.00000,368.00000,,790.00000,193.00000,368.00000
674.00000,239.00000,307.00000,,674.00000,239.00000,307.00000
729.00000,255.00000,291.00000,,729.00000,255.00000,291.00000
772.00000,274.00000,335.00000,,772.00000,274.00000,335.00000
734.00000,248.00000,363.00000,,734.00000,248.00000,363.00000
697.00000,254.00000,298.00000,,697.00000,254.00000,298.00000
768.00000,224.00000,268.00000,,768.00000,224.00000,268.00000
766.00000,237.00000,265.00000,,766.00000,237.00000,265.00000
775.00000,237.00000,298.00000,,775.00000,237.00000,298.00000
716.00000,191.00000,310.00000,,716.00000,191.00000,310.00000
773.00000,175.00000,249.00000,,773.00000,175.00000,249.00000
