Pre-bleach_raw,Post-bleach_raw,Post-recovery_raw,,Pre-bleach_normalized,Post-bleach_normalized,Post-recovery_normalized
260.00000,207.00000,331.00000,,0.44597,0.48028,0.92458
411.00000,312.00000,347.00000,,0.70497,0.72390,0.96927
472.00000,358.00000,342.00000,,0.80961,0.83063,0.95531
456.00000,418.00000,358.00000,,0.78216,0.96984,1.00000
448.00000,431.00000,292.00000,,0.76844,1.00000,0.81564
466.00000,403.00000,246.00000,,0.79931,0.93503,0.68715
405.00000,318.00000,247.00000,,0.69468,0.73782,0.68994
357.00000,230.00000,215.00000,,0.61235,0.53364,0.60056
401.00000,174.00000,195.00000,,0.68782,0.40371,0.54469
344.00000,209.00000,222.00000,,0.59005,0.48492,0.62011
350.00000,264.00000,210.00000,,0.60034,0.61253,0.58659
301.00000,287.00000,192.00000,,0.51630,0.66589,0.53631
256.00000,299.00000,151.00000,,0.43911,0.69374,0.42179
244.00000,294.00000,172.00000,,0.41852,0.68213,0.48045
263.00000,269.00000,195.00000,,0.45111,0.62413,0.54469
277.00000,218.00000,158.00000,,0.47513,0.50580,0.44134
259.00000,244.00000,166.00000,,0.44425,0.56613,0.46369
271.00000,234.00000,171.00000,,0.46484,0.54292,0.47765
243.00000,223.00000,145.00000,,0.41681,0.51740,0.40503
273.00000,244.00000,153.00000,,0.46827,0.56613,0.42737
291.00000,278.00000,228.00000,,0.49914,0.64501,0.63687
291.00000,335.00000,264.00000,,0.49914,0.77726,0.73743
358.00000,370.00000,250.00000,,0.61407,0.85847,0.69832
419.00000,368.00000,239.00000,,0.71870,0.85383,0.66760
353.00000,418.00000,192.00000,,0.60549,0.96984,0.53631
381.00000,430.00000,202.00000,,0.65352,0.99768,0.56425
359.00000,386.00000,186.00000,,0.61578,0.89559,0.51955
346.00000,365.00000,223.00000,,0.59348,0.84687,0.62291
410.00000,388.00000,172.00000,,0.70326,0.90023,0.48045
389.00000,316.00000,247.00000,,0.66724,0.73318,0.68994
363.00000,368.00000,248.00000,,0.62264,0.85383,0.69274
384.00000,394.00000,280.00000,,0.65866,0.91415,0.78212
379.00000,365.00000,282.00000,,0.65009,0.84687,0.78771
398.00000,355.00000,311.00000,,0.68268,0.82367,0.86872
394.00000,331.00000,255.00000,,0.67581,0.76798,0.71229
402.00000,334.00000,275.00000,,0.68954,0.77494,0.76816
364.00000,342.00000,262.00000,,0.62436,0.79350,0.73184
361.00000,312.00000,226.00000,,0.61921,0.72390,0.63128
316.00000,402.00000,249.00000,,0.54202,0.93271,0.69553
398.00000,407.00000,250.00000,,0.68268,0.94432,0.69832
399.00000,377.00000,247.00000,,0.68439,0.87471,0.68994
452.00000,418.00000,282.00000,,0.77530,0.96984,0.78771
437.00000,361.00000,247.00000,,0.74957,0.83759,0.68994
393.00000,351.00000,251.00000,,0.67410,0.81439,0.70112
448.00000,421.00000,205.00000,,0.76844,0.97680,0.57263
453.00000,385.00000,212.00000,,0.77702,0.89327,0.59218
421.00000,418.00000,228.00000,,0.72213,0.96984,0.63687
465.00000,351.00000,262.00000,,0.79760,0.81439,0.73184
411.00000,344.00000,268.00000,,0.70497,0.79814,0.74860
366.00000,318.00000,332.00000,,0.62779,0.73782,0.92737
359.00000,344.00000,233.00000,,0.61578,0.79814,0.65084
364.00000,330.00000,247.00000,,0.62436,0.76566,0.68994
380.00000,360.00000,284.00000,,0.65180,0.83527,0.79330
402.00000,312.00000,242.00000,,0.68954,0.72390,0.67598
412.00000,340.00000,239.00000,,0.70669,0.78886,0.66760
403.00000,279.00000,249.00000,,0.69125,0.64733,0.69553
380.00000,299.00000,269.00000,,0.65180,0.69374,0.75140
385.00000,306.00000,294.00000,,0.66038,0.70998,0.82123
382.00000,314.00000,299.00000,,0.65523,0.72854,0.83520
336.00000,281.00000,257.00000,,0.57633,0.65197,0.71788
384.00000,310.00000,282.00000,,0.65866,0.71926,0.78771
442.00000,290.00000,244.00000,,0.75815,0.67285,0.68156
412.00000,266.00000,225.00000,,0.70669,0.61717,0.62849
384.00000,274.00000,263.00000,,0.65866,0.63573,0.73464
448.00000,348.00000,241.00000,,0.76844,0.80742,0.67318
407.00000,272.00000,240.00000,,0.69811,0.63109,0.67039
400.00000,322.00000,261.00000,,0.68611,0.74710,0.72905
441.00000,316.00000,277.00000,,0.75643,0.73318,0.77374
396.00000,274.00000,240.00000,,0.67925,0.63573,0.67039
423.00000,275.00000,267.00000,,0.72556,0.63805,0.74581
426.00000,248.00000,301.00000,,0.73070,0.57541,0.84078
422.00000,228.00000,280.00000,,0.72384,0.52900,0.78212
433.00000,207.00000,202.00000,,0.74271,0.48028,0.56425
450.00000,216.00000,261.00000,,0.77187,0.50116,0.72905
458.00000,253.00000,269.00000,,0.78559,0.58701,0.75140
422.00000,226.00000,260.00000,,0.72384,0.52436,0.72626
408.00000,171.00000,223.00000,,0.69983,0.39675,0.62291
411.00000,174.00000,211.00000,,0.70497,0.40371,0.58939
428.00000,234.00000,181.00000,,0.73413,0.54292,0.50559
402.00000,169.00000,227.00000,,0.68954,0.39211,0.63408
432.00000,177.00000,261.00000,,0.74099,0.41067,0.72905
461.00000,224.00000,220.00000,,0.79074,0.51972,0.61453
371.00000,170.00000,219.00000,,0.63636,0.39443,0.61173
363.00000,181.00000,239.00000,,0.62264,0.41995,0.66760
352.00000,174.00000,262.00000,,0.60377,0.40371,0.73184
458.00000,143.00000,214.00000,,0.78559,0.33179,0.59777
395.00000,165.00000,194.00000,,0.67753,0.38283,0.54190
401.00000,173.00000,259.00000,,0.68782,0.40139,0.72346
421.00000,177.00000,170.00000,,0.72213,0.41067,0.47486
426.00000,145.00000,201.00000,,0.73070,0.33643,0.56145
387.00000,179.00000,179.00000,,0.66381,0.41531,0.50000
462.00000,190.00000,192.00000,,0.79245,0.44084,0.53631
344.00000,174.00000,173.00000,,0.59005,0.40371,0.48324
390.00000,171.00000,165.00000,,0.66895,0.39675,0.46089
432.00000,220.00000,185.00000,,0.74099,0.51044,0.51676
384.00000,144.00000,162.00000,,0.65866,0.33411,0.45251
391.00000,90.00000,199.00000,,0.67067,0.20882,0.55587
404.00000,111.00000,209.00000,,0.69297,0.25754,0.58380
449.00000,121.00000,219.00000,,0.77015,0.28074,0.61173
434.00000,103.00000,223.00000,,0.74443,0.23898,0.62291
