Membrane_raw,FtsZ_raw,,Membrane_normalized,FtsZ_normalized
576.00000,44.00000,,0.44138,0.03101
635.00000,106.00000,,0.48659,0.07470
628.00000,150.00000,,0.48123,0.10571
737.00000,121.00000,,0.56475,0.08527
897.00000,57.00000,,0.68736,0.04017
797.00000,114.00000,,0.61073,0.08034
850.00000,57.00000,,0.65134,0.04017
854.00000,145.00000,,0.65441,0.10218
908.00000,121.00000,,0.69579,0.08527
932.00000,96.00000,,0.71418,0.06765
846.00000,103.00000,,0.64828,0.07259
647.00000,96.00000,,0.49579,0.06765
789.00000,87.00000,,0.60460,0.06131
754.00000,56.00000,,0.57778,0.03946
780.00000,198.00000,,0.59770,0.13953
812.00000,125.00000,,0.62222,0.08809
788.00000,42.00000,,0.60383,0.02960
749.00000,100.00000,,0.57395,0.07047
762.00000,60.00000,,0.58391,0.04228
760.00000,14.00000,,0.58238,0.00987
714.00000,6.00000,,0.54713,0.00423
747.00000,16.00000,,0.57241,0.01128
787.00000,21.00000,,0.60307,0.01480
760.00000,31.00000,,0.58238,0.02185
755.00000,103.00000,,0.57854,0.07259
766.00000,97.00000,,0.58697,0.06836
788.00000,42.00000,,0.60383,0.02960
814.00000,96.00000,,0.62375,0.06765
836.00000,94.00000,,0.64061,0.06624
895.00000,63.00000,,0.68582,0.04440
817.00000,95.00000,,0.62605,0.06695
811.00000,78.00000,,0.62146,0.05497
720.00000,102.00000,,0.55172,0.07188
660.00000,155.00000,,0.50575,0.10923
759.00000,43.00000,,0.58161,0.03030
787.00000,112.00000,,0.60307,0.07893
801.00000,68.00000,,0.61379,0.04792
764.00000,114.00000,,0.58544,0.08034
815.00000,20.00000,,0.62452,0.01409
779.00000,39.00000,,0.59693,0.02748
794.00000,22.00000,,0.60843,0.01550
828.00000,93.00000,,0.63448,0.06554
912.00000,14.00000,,0.69885,0.00987
958.00000,54.00000,,0.73410,0.03805
901.00000,56.00000,,0.69042,0.03946
880.00000,15.00000,,0.67433,0.01057
835.00000,78.00000,,0.63985,0.05497
912.00000,75.00000,,0.69885,0.05285
873.00000,31.00000,,0.66897,0.02185
808.00000,36.00000,,0.61916,0.02537
785.00000,75.00000,,0.60153,0.05285
789.00000,82.00000,,0.60460,0.05779
830.00000,12.00000,,0.63602,0.00846
718.00000,41.00000,,0.55019,0.02889
739.00000,45.00000,,0.56628,0.03171
847.00000,15.00000,,0.64904,0.01057
823.00000,78.00000,,0.63065,0.05497
863.00000,139.00000,,0.66130,0.09796
851.00000,107.00000,,0.65211,0.07541
858.00000,128.00000,,0.65747,0.09020
952.00000,129.00000,,0.72950,0.09091
910.00000,122.00000,,0.69732,0.08598
958.00000,129.00000,,0.73410,0.09091
1038.00000,86.00000,,0.79540,0.06061
888.00000,60.00000,,0.68046,0.04228
1097.00000,83.00000,,0.84061,0.05849
1038.00000,118.00000,,0.79540,0.08316
1088.00000,150.00000,,0.83372,0.10571
1074.00000,130.00000,,0.82299,0.09161
1247.00000,189.00000,,0.95556,0.13319
1260.00000,293.00000,,0.96552,0.20648
1162.00000,160.00000,,0.89042,0.11276
1181.00000,251.00000,,0.90498,0.17689
1305.00000,86.00000,,1.00000,0.06061
1153.00000,232.00000,,0.88352,0.16350
1172.00000,193.00000,,0.89808,0.13601
1163.00000,292.00000,,0.89119,0.20578
1154.00000,98.00000,,0.88429,0.06906
1151.00000,277.00000,,0.88199,0.19521
1102.00000,383.00000,,0.84444,0.26991
1067.00000,447.00000,,0.81762,0.31501
1237.00000,404.00000,,0.94789,0.28471
1162.00000,240.00000,,0.89042,0.16913
946.00000,329.00000,,0.72490,0.23185
1011.00000,378.00000,,0.77471,0.26638
1003.00000,328.00000,,0.76858,0.23115
1029.00000,244.00000,,0.78851,0.17195
1016.00000,438.00000,,0.77854,0.30867
827.00000,468.00000,,0.63372,0.32981
803.00000,328.00000,,0.61533,0.23115
734.00000,574.00000,,0.56245,0.40451
581.00000,785.00000,,0.44521,0.55321
492.00000,986.00000,,0.37701,0.69486
460.00000,827.00000,,0.35249,0.58280
351.00000,819.00000,,0.26897,0.57717
363.00000,674.00000,,0.27816,0.47498
309.00000,738.00000,,0.23678,0.52008
291.00000,945.00000,,0.22299,0.66596
219.00000,1039.00000,,0.16782,0.73221
278.00000,1052.00000,,0.21303,0.74137
286.00000,1209.00000,,0.21916,0.85201
221.00000,1172.00000,,0.16935,0.82593
186.00000,1202.00000,,0.14253,0.84708
228.00000,1121.00000,,0.17471,0.78999
242.00000,1223.00000,,0.18544,0.86187
164.00000,1419.00000,,0.12567,1.00000
186.00000,1196.00000,,0.14253,0.84285
211.00000,1037.00000,,0.16169,0.73080
183.00000,876.00000,,0.14023,0.61734
146.00000,860.00000,,0.11188,0.60606
163.00000,658.00000,,0.12490,0.46371
254.00000,581.00000,,0.19464,0.40944
193.00000,620.00000,,0.14789,0.43693
320.00000,562.00000,,0.24521,0.39605
391.00000,561.00000,,0.29962,0.39535
403.00000,502.00000,,0.30881,0.35377
