Membrane_raw,FtsZ_raw,,Membrane_normalized,FtsZ_normalized
120.00000,0.00000,,0.13905,0.00000
208.00000,2.00000,,0.24102,0.00245
344.00000,16.00000,,0.39861,0.01961
505.00000,3.00000,,0.58517,0.00368
635.00000,17.00000,,0.73581,0.02083
687.00000,5.00000,,0.79606,0.00613
861.00000,31.00000,,0.99768,0.03799
863.00000,26.00000,,1.00000,0.03186
762.00000,14.00000,,0.88297,0.01716
634.00000,5.00000,,0.73465,0.00613
572.00000,0.00000,,0.66280,0.00000
471.00000,12.00000,,0.54577,0.01471
442.00000,32.00000,,0.51217,0.03922
325.00000,6.00000,,0.37659,0.00735
339.00000,2.00000,,0.39282,0.00245
391.00000,0.00000,,0.45307,0.00000
356.00000,0.00000,,0.41251,0.00000
389.00000,0.00000,,0.45075,0.00000
450.00000,22.00000,,0.52144,0.02696
459.00000,58.00000,,0.53187,0.07108
553.00000,59.00000,,0.64079,0.07230
604.00000,30.00000,,0.69988,0.03676
586.00000,36.00000,,0.67903,0.04412
594.00000,44.00000,,0.68830,0.05392
553.00000,68.00000,,0.64079,0.08333
583.00000,72.00000,,0.67555,0.08824
579.00000,35.00000,,0.67092,0.04289
587.00000,70.00000,,0.68019,0.08578
554.00000,93.00000,,0.64195,0.11397
595.00000,76.00000,,0.68946,0.09314
604.00000,132.00000,,0.69988,0.16176
610.00000,111.00000,,0.70684,0.13603
621.00000,76.00000,,0.71958,0.09314
581.00000,159.00000,,0.67323,0.19485
570.00000,206.00000,,0.66049,0.25245
485.00000,161.00000,,0.56199,0.19730
466.00000,239.00000,,0.53998,0.29289
396.00000,175.00000,,0.45886,0.21446
436.00000,375.00000,,0.50521,0.45956
416.00000,370.00000,,0.48204,0.45343
402.00000,352.00000,,0.46582,0.43137
372.00000,300.00000,,0.43105,0.36765
411.00000,318.00000,,0.47625,0.38971
334.00000,243.00000,,0.38702,0.29779
256.00000,202.00000,,0.29664,0.24755
212.00000,241.00000,,0.24565,0.29534
175.00000,303.00000,,0.20278,0.37132
211.00000,331.00000,,0.24450,0.40564
165.00000,372.00000,,0.19119,0.45588
146.00000,435.00000,,0.16918,0.53309
131.00000,512.00000,,0.15180,0.62745
120.00000,720.00000,,0.13905,0.88235
122.00000,592.00000,,0.14137,0.72549
110.00000,761.00000,,0.12746,0.93260
70.00000,777.00000,,0.08111,0.95221
90.00000,816.00000,,0.10429,1.00000
71.00000,619.00000,,0.08227,0.75858
70.00000,561.00000,,0.08111,0.68750
68.00000,511.00000,,0.07879,0.62623
81.00000,577.00000,,0.09386,0.70711
97.00000,551.00000,,0.11240,0.67525
93.00000,568.00000,,0.10776,0.69608
119.00000,605.00000,,0.13789,0.74142
90.00000,401.00000,,0.10429,0.49142
80.00000,339.00000,,0.09270,0.41544
83.00000,239.00000,,0.09618,0.29289
100.00000,280.00000,,0.11587,0.34314
111.00000,253.00000,,0.12862,0.31005
89.00000,268.00000,,0.10313,0.32843
86.00000,384.00000,,0.09965,0.47059
84.00000,374.00000,,0.09733,0.45833
100.00000,316.00000,,0.11587,0.38725
162.00000,201.00000,,0.18772,0.24632
187.00000,87.00000,,0.21669,0.10662
164.00000,169.00000,,0.19003,0.20711
215.00000,180.00000,,0.24913,0.22059
213.00000,38.00000,,0.24681,0.04657
183.00000,38.00000,,0.21205,0.04657
186.00000,33.00000,,0.21553,0.04044
235.00000,26.00000,,0.27231,0.03186
292.00000,26.00000,,0.33835,0.03186
249.00000,26.00000,,0.28853,0.03186
248.00000,57.00000,,0.28737,0.06985
252.00000,134.00000,,0.29200,0.16422
317.00000,130.00000,,0.36732,0.15931
336.00000,115.00000,,0.38934,0.14093
450.00000,122.00000,,0.52144,0.14951
501.00000,122.00000,,0.58053,0.14951
564.00000,109.00000,,0.65353,0.13358
542.00000,71.00000,,0.62804,0.08701
482.00000,26.00000,,0.55852,0.03186
435.00000,30.00000,,0.50406,0.03676
380.00000,33.00000,,0.44032,0.04044
