Membrane_raw,FtsZ_raw,,Membrane_normalized,FtsZ_normalized
798.00000,11.00000,,0.86551,0.01111
922.00000,1.00000,,1.00000,0.00101
886.00000,0.00000,,0.96095,0.00000
718.00000,0.00000,,0.77874,0.00000
667.00000,0.00000,,0.72343,0.00000
668.00000,15.00000,,0.72451,0.01515
660.00000,18.00000,,0.71584,0.01818
534.00000,20.00000,,0.57918,0.02020
465.00000,12.00000,,0.50434,0.01212
553.00000,10.00000,,0.59978,0.01010
545.00000,12.00000,,0.59111,0.01212
436.00000,14.00000,,0.47289,0.01414
430.00000,16.00000,,0.46638,0.01616
421.00000,29.00000,,0.45662,0.02929
481.00000,8.00000,,0.52169,0.00808
422.00000,20.00000,,0.45770,0.02020
417.00000,7.00000,,0.45228,0.00707
413.00000,0.00000,,0.44794,0.00000
449.00000,0.00000,,0.48698,0.00000
501.00000,10.00000,,0.54338,0.01010
540.00000,2.00000,,0.58568,0.00202
481.00000,41.00000,,0.52169,0.04141
504.00000,27.00000,,0.54664,0.02727
458.00000,4.00000,,0.49675,0.00404
431.00000,20.00000,,0.46746,0.02020
396.00000,18.00000,,0.42950,0.01818
375.00000,9.00000,,0.40672,0.00909
396.00000,10.00000,,0.42950,0.01010
434.00000,8.00000,,0.47072,0.00808
430.00000,28.00000,,0.46638,0.02828
398.00000,40.00000,,0.43167,0.04040
387.00000,64.00000,,0.41974,0.06465
375.00000,117.00000,,0.40672,0.11818
364.00000,69.00000,,0.39479,0.06970
366.00000,199.00000,,0.39696,0.20101
407.00000,211.00000,,0.44143,0.21313
373.00000,277.00000,,0.40456,0.27980
330.00000,306.00000,,0.35792,0.30909
352.00000,437.00000,,0.38178,0.44141
371.00000,506.00000,,0.40239,0.51111
338.00000,736.00000,,0.36659,0.74343
383.00000,685.00000,,0.41540,0.69192
350.00000,622.00000,,0.37961,0.62828
369.00000,540.00000,,0.40022,0.54545
413.00000,452.00000,,0.44794,0.45657
384.00000,402.00000,,0.41649,0.40606
405.00000,320.00000,,0.43926,0.32323
392.00000,360.00000,,0.42516,0.36364
337.00000,366.00000,,0.36551,0.36970
302.00000,511.00000,,0.32755,0.51616
266.00000,640.00000,,0.28850,0.64646
248.00000,688.00000,,0.26898,0.69495
168.00000,828.00000,,0.18221,0.83636
136.00000,888.00000,,0.14751,0.89697
173.00000,869.00000,,0.18764,0.87778
134.00000,985.00000,,0.14534,0.99495
169.00000,990.00000,,0.18330,1.00000
166.00000,902.00000,,0.18004,0.91111
145.00000,916.00000,,0.15727,0.92525
174.00000,823.00000,,0.18872,0.83131
193.00000,733.00000,,0.20933,0.74040
229.00000,794.00000,,0.24837,0.80202
283.00000,810.00000,,0.30694,0.81818
302.00000,725.00000,,0.32755,0.73232
269.00000,539.00000,,0.29176,0.54444
265.00000,582.00000,,0.28742,0.58788
298.00000,673.00000,,0.32321,0.67980
292.00000,664.00000,,0.31670,0.67071
368.00000,490.00000,,0.39913,0.49495
385.00000,535.00000,,0.41757,0.54040
417.00000,609.00000,,0.45228,0.61515
318.00000,347.00000,,0.34490,0.35051
374.00000,259.00000,,0.40564,0.26162
412.00000,286.00000,,0.44685,0.28889
457.00000,212.00000,,0.49566,0.21414
503.00000,144.00000,,0.54555,0.14545
510.00000,119.00000,,0.55315,0.12020
491.00000,117.00000,,0.53254,0.11818
441.00000,132.00000,,0.47831,0.13333
497.00000,78.00000,,0.53905,0.07879
535.00000,92.00000,,0.58026,0.09293
609.00000,84.00000,,0.66052,0.08485
689.00000,83.00000,,0.74729,0.08384
662.00000,63.00000,,0.71800,0.06364
635.00000,72.00000,,0.68872,0.07273
645.00000,80.00000,,0.69957,0.08081
555.00000,61.00000,,0.60195,0.06162
416.00000,66.00000,,0.45119,0.06667
291.00000,5.00000,,0.31562,0.00505
