Pre-bleach_raw,Post-bleach_raw,Post-recovery_raw,,Pre-bleach_normalized,Post-bleach_normalized,Post-recovery_normalized
79.00000,135.00000,159.00000,,0.18810,0.37604,0.63855
182.00000,234.00000,148.00000,,0.43333,0.65181,0.59438
264.00000,308.00000,166.00000,,0.62857,0.85794,0.66667
320.00000,326.00000,136.00000,,0.76190,0.90808,0.54618
361.00000,295.00000,133.00000,,0.85952,0.82173,0.53414
319.00000,286.00000,147.00000,,0.75952,0.79666,0.59036
262.00000,307.00000,181.00000,,0.62381,0.85515,0.72691
315.00000,286.00000,168.00000,,0.75000,0.79666,0.67470
270.00000,265.00000,169.00000,,0.64286,0.73816,0.67871
251.00000,237.00000,153.00000,,0.59762,0.66017,0.61446
304.00000,236.00000,147.00000,,0.72381,0.65738,0.59036
317.00000,269.00000,185.00000,,0.75476,0.74930,0.74297
330.00000,258.00000,190.00000,,0.78571,0.71866,0.76305
270.00000,359.00000,140.00000,,0.64286,1.00000,0.56225
309.00000,352.00000,170.00000,,0.73571,0.98050,0.68273
295.00000,289.00000,161.00000,,0.70238,0.80501,0.64659
303.00000,255.00000,133.00000,,0.72143,0.71031,0.53414
336.00000,257.00000,109.00000,,0.80000,0.71588,0.43775
338.00000,302.00000,123.00000,,0.80476,0.84123,0.49398
350.00000,313.00000,129.00000,,0.83333,0.87187,0.51807
296.00000,256.00000,137.00000,,0.70476,0.71309,0.55020
335.00000,230.00000,130.00000,,0.79762,0.64067,0.52209
295.00000,182.00000,121.00000,,0.70238,0.50696,0.48594
249.00000,265.00000,141.00000,,0.59286,0.73816,0.56627
263.00000,250.00000,170.00000,,0.62619,0.69638,0.68273
302.00000,243.00000,159.00000,,0.71905,0.67688,0.63855
252.00000,265.00000,149.00000,,0.60000,0.73816,0.59839
298.00000,248.00000,165.00000,,0.70952,0.69081,0.66265
239.00000,261.00000,249.00000,,0.56905,0.72702,1.00000
305.00000,255.00000,244.00000,,0.72619,0.71031,0.97992
272.00000,213.00000,207.00000,,0.64762,0.59331,0.83133
302.00000,245.00000,191.00000,,0.71905,0.68245,0.76707
290.00000,277.00000,226.00000,,0.69048,0.77159,0.90763
322.00000,291.00000,197.00000,,0.76667,0.81058,0.79116
367.00000,259.00000,173.00000,,0.87381,0.72145,0.69478
402.00000,231.00000,189.00000,,0.95714,0.64345,0.75904
341.00000,225.00000,194.00000,,0.81190,0.62674,0.77912
313.00000,211.00000,170.00000,,0.74524,0.58774,0.68273
358.00000,194.00000,158.00000,,0.85238,0.54039,0.63454
315.00000,192.00000,152.00000,,0.75000,0.53482,0.61044
307.00000,169.00000,181.00000,,0.73095,0.47075,0.72691
291.00000,206.00000,177.00000,,0.69286,0.57382,0.71084
325.00000,189.00000,175.00000,,0.77381,0.52646,0.70281
307.00000,186.00000,194.00000,,0.73095,0.51811,0.77912
323.00000,178.00000,168.00000,,0.76905,0.49582,0.67470
312.00000,156.00000,168.00000,,0.74286,0.43454,0.67470
386.00000,143.00000,124.00000,,0.91905,0.39833,0.49799
420.00000,155.00000,148.00000,,1.00000,0.43175,0.59438
378.00000,165.00000,165.00000,,0.90000,0.45961,0.66265
380.00000,178.00000,181.00000,,0.90476,0.49582,0.72691
310.00000,134.00000,174.00000,,0.73810,0.37326,0.69880
291.00000,152.00000,191.00000,,0.69286,0.42340,0.76707
301.00000,153.00000,156.00000,,0.71667,0.42618,0.62651
290.00000,155.00000,155.00000,,0.69048,0.43175,0.62249
349.00000,166.00000,165.00000,,0.83095,0.46240,0.66265
338.00000,100.00000,152.00000,,0.80476,0.27855,0.61044
298.00000,99.00000,167.00000,,0.70952,0.27577,0.67068
324.00000,112.00000,144.00000,,0.77143,0.31198,0.57831
279.00000,159.00000,109.00000,,0.66429,0.44290,0.43775
308.00000,152.00000,138.00000,,0.73333,0.42340,0.55422
315.00000,147.00000,136.00000,,0.75000,0.40947,0.54618
326.00000,133.00000,131.00000,,0.77619,0.37047,0.52610
352.00000,116.00000,110.00000,,0.83810,0.32312,0.44177
314.00000,93.00000,128.00000,,0.74762,0.25905,0.51406
275.00000,116.00000,132.00000,,0.65476,0.32312,0.53012
301.00000,110.00000,179.00000,,0.71667,0.30641,0.71888
303.00000,138.00000,128.00000,,0.72143,0.38440,0.51406
318.00000,146.00000,124.00000,,0.75714,0.40669,0.49799
345.00000,157.00000,170.00000,,0.82143,0.43733,0.68273
318.00000,161.00000,206.00000,,0.75714,0.44847,0.82731
395.00000,131.00000,179.00000,,0.94048,0.36490,0.71888
354.00000,82.00000,133.00000,,0.84286,0.22841,0.53414
327.00000,95.00000,142.00000,,0.77857,0.26462,0.57028
393.00000,93.00000,137.00000,,0.93571,0.25905,0.55020
347.00000,105.00000,135.00000,,0.82619,0.29248,0.54217
334.00000,123.00000,144.00000,,0.79524,0.34262,0.57831
357.00000,111.00000,160.00000,,0.85000,0.30919,0.64257
294.00000,85.00000,130.00000,,0.70000,0.23677,0.52209
339.00000,91.00000,104.00000,,0.80714,0.25348,0.41767
316.00000,104.00000,125.00000,,0.75238,0.28969,0.50201
340.00000,116.00000,131.00000,,0.80952,0.32312,0.52610
340.00000,106.00000,118.00000,,0.80952,0.29526,0.47390
330.00000,81.00000,158.00000,,0.78571,0.22563,0.63454
253.00000,97.00000,133.00000,,0.60238,0.27019,0.53414
277.00000,88.00000,117.00000,,0.65952,0.24513,0.46988
279.00000,71.00000,188.00000,,0.66429,0.19777,0.75502
272.00000,91.00000,181.00000,,0.64762,0.25348,0.72691
248.00000,86.00000,149.00000,,0.59048,0.23955,0.59839
288.00000,114.00000,109.00000,,0.68571,0.31755,0.43775
337.00000,75.00000,75.00000,,0.80238,0.20891,0.30120
322.00000,71.00000,,,0.76667,0.19777,
316.00000,85.00000,,,0.75238,0.23677,
290.00000,77.00000,,,0.69048,0.21448,
384.00000,85.00000,,,0.91429,0.23677,
360.00000,69.00000,,,0.85714,0.19220,
,65.00000,,,,0.18106,
,15.00000,,,,0.04178,
