Frame,Time/min,Membrane_Raw_Intensity,mreb_Raw_Intensity,Membrane_Normalized_Intensity,mreb_Normalized_Intensity
1,0,38.662576310703436,63.60051538485137,1.0,1.0
6,5,1.3430562805121435,3.2154502748011913,0.0,0.0
11,10,1.4322963053960258,6.084241884463008,0.0023912425672057832,0.0475082970339358
16,15,1.5579208527321735,8.38578167115903,0.005757431286527954,0.08562268479689551
21,20,1.3885048329866634,10.906552061666464,0.001217822534634749,0.12736761602969945
26,25,1.8533194512493876,12.069359382655561,0.013672822435134317,0.14662415436198264
31,30,2.094219334273279,12.315760436461717,0.020127886241662504,0.15070465097744704
36,35,1.8120098039215686,15.490716911764705,0.01256590446581425,0.20328315643267367
41,40,2.128238143413348,14.057604463656151,0.02103944161838085,0.17955026079868294
46,45,1.651045819787769,19.91599705575661,0.008252773321480653,0.27656750473845004
51,50,1.7787491181252109,18.757921536149198,0.011674663480682338,0.25738932686455274
56,55,2.182724456305021,20.00871138922119,0.02249943662495098,0.27810288990853493
