Membrane_raw,FtsZ_raw,,Membrane_normalized,FtsZ_normalized
304.00000,220.00000,,0.50165,0.25316
284.00000,57.00000,,0.46865,0.06559
259.00000,28.00000,,0.42739,0.03222
257.00000,22.00000,,0.42409,0.02532
266.00000,21.00000,,0.43894,0.02417
252.00000,26.00000,,0.41584,0.02992
243.00000,101.00000,,0.40099,0.11623
203.00000,128.00000,,0.33498,0.14730
148.00000,332.00000,,0.24422,0.38205
96.00000,384.00000,,0.15842,0.44189
92.00000,449.00000,,0.15182,0.51669
97.00000,499.00000,,0.16007,0.57422
102.00000,478.00000,,0.16832,0.55006
154.00000,331.00000,,0.25413,0.38090
220.00000,194.00000,,0.36304,0.22325
243.00000,61.00000,,0.40099,0.07020
258.00000,43.00000,,0.42574,0.04948
322.00000,33.00000,,0.53135,0.03797
333.00000,25.00000,,0.54950,0.02877
304.00000,13.00000,,0.50165,0.01496
272.00000,41.00000,,0.44884,0.04718
257.00000,39.00000,,0.42409,0.04488
200.00000,106.00000,,0.33003,0.12198
141.00000,164.00000,,0.23267,0.18872
91.00000,325.00000,,0.15017,0.37399
67.00000,351.00000,,0.11056,0.40391
59.00000,271.00000,,0.09736,0.31185
67.00000,292.00000,,0.11056,0.33602
96.00000,315.00000,,0.15842,0.36249
129.00000,312.00000,,0.21287,0.35903
190.00000,200.00000,,0.31353,0.23015
204.00000,102.00000,,0.33663,0.11738
197.00000,85.00000,,0.32508,0.09781
153.00000,292.00000,,0.25248,0.33602
109.00000,375.00000,,0.17987,0.43153
125.00000,304.00000,,0.20627,0.34983
187.00000,134.00000,,0.30858,0.15420
260.00000,30.00000,,0.42904,0.03452
248.00000,21.00000,,0.40924,0.02417
279.00000,1.00000,,0.46040,0.00115
248.00000,14.00000,,0.40924,0.01611
251.00000,19.00000,,0.41419,0.02186
280.00000,20.00000,,0.46205,0.02301
234.00000,21.00000,,0.38614,0.02417
253.00000,7.00000,,0.41749,0.00806
248.00000,31.00000,,0.40924,0.03567
244.00000,81.00000,,0.40264,0.09321
193.00000,104.00000,,0.31848,0.11968
191.00000,190.00000,,0.31518,0.21864
252.00000,396.00000,,0.41584,0.45570
353.00000,612.00000,,0.58251,0.70426
468.00000,800.00000,,0.77228,0.92060
505.00000,846.00000,,0.83333,0.97353
547.00000,864.00000,,0.90264,0.99425
543.00000,852.00000,,0.89604,0.98044
524.00000,849.00000,,0.86469,0.97699
537.00000,869.00000,,0.88614,1.00000
508.00000,852.00000,,0.83828,0.98044
492.00000,839.00000,,0.81188,0.96548
496.00000,769.00000,,0.81848,0.88493
462.00000,695.00000,,0.76238,0.79977
476.00000,488.00000,,0.78548,0.56157
548.00000,88.00000,,0.90429,0.10127
601.00000,39.00000,,0.99175,0.04488
606.00000,21.00000,,1.00000,0.02417
558.00000,11.00000,,0.92079,0.01266
443.00000,0.00000,,0.73102,0.00000
449.00000,8.00000,,0.74092,0.00921
457.00000,112.00000,,0.75413,0.12888
468.00000,239.00000,,0.77228,0.27503
414.00000,91.00000,,0.68317,0.10472
342.00000,36.00000,,0.56436,0.04143
311.00000,40.00000,,0.51320,0.04603
272.00000,4.00000,,0.44884,0.00460
299.00000,16.00000,,0.49340,0.01841
240.00000,68.00000,,0.39604,0.07825
194.00000,119.00000,,0.32013,0.13694
145.00000,297.00000,,0.23927,0.34177
108.00000,325.00000,,0.17822,0.37399
153.00000,181.00000,,0.25248,0.20829
174.00000,36.00000,,0.28713,0.04143
167.00000,76.00000,,0.27558,0.08746
142.00000,39.00000,,0.23432,0.04488
103.00000,8.00000,,0.16997,0.00921
